Antigen,Antigen,Antigen,Antigen,Antigen
"Cysteine peptidase, putative (UniProt:Q4E0J7)","Trypanosoma cruzi","39","91","1"
"Envelope glycoprotein D","Human herpesvirus 2","182","612","7"
"Antitoxin Rv2654c","Mycobacterium tuberculosis","40","487","8"
"Tegument protein pp150","Human herpesvirus 5 (Human cytomegalovirus)","246","307","19"
"Fusion glycoprotein F0","Measles morbillivirus (Cell-associated subacute sclerosing panencephalitis)","131","409","19"
"Phospholipase-D-like protein K4","Vaccinia virus (vaccinia virus VV)","224","1853","8"
"Diacylglycerol acyltransferase/mycolyltransferase Ag85B","Mycobacterium tuberculosis","535","3983","60"
"Gal d 2","Gallus gallus (chicken)","246","300","20"
"Thiamine biosynthesis protein ThiF","Roseobacter sp. MED193","1","14","3"
"RNA polymerase","Andes orthohantavirus (Andes hantavirus)","39","567","20"
"Merozoite surface antigen 2 (UniProt:A0A143ZX41)","Plasmodium falciparum (malaria parasite P. falciparum)","41","69","14"
"Gad m 1","Gadus morhua (Atlantic cod)","88","164","4"
"Nucleoprotein","Andes orthohantavirus (Andes hantavirus)","64","221","12"
"Urease subunit beta","Helicobacter pylori","622","631","6"
"Mucin TcMUCI, putative (UniProt:Q4CLY1)","Trypanosoma cruzi","1","1","1"
"ABC transporter, ATP-binding protein, putative (UniProt:Q2FYP2)","Staphylococcus aureus","525","532","1"
"IgA-specific serine endopeptidase","Neisseria meningitidis","3","5","1"
"Urease subunit alpha","Helicobacter pylori","215","215","1"
"Envelope glycoprotein gp160","Human immunodeficiency virus 1 (human immunodeficiency virus 1 HIV-1)","159","812","133"
"Assembly protein G7","Vaccinia virus (vaccinia virus VV)","228","1963","16"
"Exotoxin A","Pseudomonas aeruginosa","144","497","9"
"Secreted protein ORF2","Orthohepevirus A","702","871","14"
"HLA-DQB1*03:02 chain","","13","16","9"
"Epstein-Barr nuclear antigen 4","Human herpesvirus 4 (Epstein Barr virus)","580","1431","92"
"Nucleoprotein","Influenza A virus","825","2802","192"
"Protein A47","Vaccinia virus (vaccinia virus VV)","74","391","20"
"Sulfatase domain-containing protein","Giardia intestinalis (Giardia lamblia)","1","26","2"
"Sulfatase, putative","Giardia intestinalis (Giardia lamblia)","1","2","2"
"Accessory protein p30II","Primate T-lymphotropic virus 1","4","7","2"
"60 kDa chaperonin 2","Mycobacterium tuberculosis","223","643","61"
"60 kDa chaperonin 2","Mycobacterium leprae","100","149","25"
"Surface antigen 2 (CA-2), putative","Trypanosoma cruzi","542","620","8"
"Nucleoprotein","Human respiratory syncytial virus","174","226","17"
"Melanoma antigen recognized by T-cells 1","Homo sapiens (human)","79","344","58"
"Protein C6","Vaccinia virus (vaccinia virus VV)","40","258","10"
"Phl p 5","Phleum pratense (timothy grass)","312","6711","17"
"Basic membrane protein A","Borreliella burgdorferi (Lyme disease spirochete)","84","84","1"
"Major fimbrium subunit FimA type-4","Porphyromonas gingivalis","74","81","2"
"UDP-N-acetylglucosamine--N-acetylmuramyl-(pentapeptide) pyrophosphoryl-undecaprenol N-acetylglucosamine transferase","Salmonella enterica","1","11","1"
"Mal d 3","Malus domestica (apple tree)","28","28","2"
"Protein 3a","Severe acute respiratory syndrome-related coronavirus (Human coronavirus (strain SARS))","140","485","11"
"Flagellar filament 41 kDa core protein","Borreliella burgdorferi (Lyme disease spirochete)","186","219","10"
"PPE family immunomodulator PPE68","Mycobacterium tuberculosis","115","592","23"
"ESAT-6-like protein EsxB","Mycobacterium tuberculosis","126","1200","42"
"ESAT-6-like protein EsxG","Mycobacterium tuberculosis","12","44","12"
"Ara h 2","Arachis hypogaea (peanut)","259","606","27"
"Epstein-Barr nuclear antigen 3","Human herpesvirus 4 (Epstein Barr virus)","807","2065","195"
"Major core protein 4a precursor","Vaccinia virus (vaccinia virus VV)","399","1778","28"
"Virion membrane protein A16","Vaccinia virus (vaccinia virus VV)","174","1418","21"
"Glucosyltransferase-I","Streptococcus mutans","31","31","1"
"Genome polyprotein","West Nile virus","521","1849","51"
"Treponemal membrane protein A","Treponema pallidum","11","11","1"
"Peptidoglycan-associated lipoprotein","Haemophilus influenzae","20","91","3"
"Other Streptococcus pyogenes protein","Streptococcus pyogenes","528","794","33"
"Chaperone protein DnaK","Mycobacterium leprae","72","235","7"
"Thymidine kinase","Vaccinia virus (vaccinia virus VV)","50","283","19"
"65 kDa phosphoprotein","Human herpesvirus 5 (Human cytomegalovirus)","558","3665","402"
"Protein L1","Vaccinia virus (vaccinia virus VV)","77","337","17"
"Genome polyprotein","Enterovirus C (Enterovirus EV-C)","159","251","13"
"Nucleoprotein","Mopeia mammarenavirus (Mopeia virus)","10","33","4"
"Structural polyprotein","Rubella virus","263","519","29"
"15 kDa lipoprotein","Treponema pallidum","140","141","1"
"55 kDa immediate-early protein 1","Human herpesvirus 5 (Human cytomegalovirus)","272","1342","112"
"Cell surface antigen I/II","Streptococcus mutans","120","229","9"
"Histidine-rich protein III","Plasmodium falciparum (malaria parasite P. falciparum)","2","2","1"
"L-dopachrome tautomerase","Homo sapiens (human)","114","201","18"
"Putative inner membrane protein (UniProt:Q8ZRH4)","Salmonella enterica","1","33","4"
"Der p 1","Dermatophagoides pteronyssinus (European house dust mite)","232","908","20"
"Other Plasmodium vivax (malaria parasite P. vivax) protein","Plasmodium vivax (malaria parasite P. vivax)","39","81","22"
"Circumsporozoite protein, putative","Plasmodium vivax (malaria parasite P. vivax)","65","231","13"
"Poa p 5","Poa pratensis (Kentucky bluegrass)","50","798","4"
"Tropomyosin (Fragments)","Turbo cornutus","8","8","1"
"Lep d 2","Lepidoglyphus destructor","24","50","2"
"Envelope glycoprotein G","Human herpesvirus 2","345","368","6"
"Protein P","Hepatitis B virus (hepatitis B virus (HBV))","316","1575","65"
"Hev b 5","Hevea brasiliensis (rubbertree)","120","148","4"
"Epstein-Barr nuclear antigen 2","Human herpesvirus 4 (Epstein Barr virus)","146","322","35"
"Trans-activator protein BZLF1","Human herpesvirus 4 (Epstein Barr virus)","239","749","117"
"Cor a 1","Corylus avellana (European hazelnut)","58","60","4"
"Prostate-specific antigen","Homo sapiens (human)","15","32","11"
"Art v 1","Artemisia vulgaris (mugwort)","41","154","10"
"Cellular tumor antigen p53 (UniProt:A0A0U1RQC9)","Homo sapiens (human)","47","156","41"
"Other Homo sapiens (human) protein","Homo sapiens (human)","25633","55062","412"
"Protein Tax-2","Primate T-lymphotropic virus 2","20","29","4"
"Leishmanolysin (UniProt:Q4QHH2)","Leishmania major","13","40","1"
"Envelope glycoprotein B","Human herpesvirus 4 (Epstein Barr virus)","36","114","34"
"Protein F11","Vaccinia virus (vaccinia virus VV)","197","1612","22"
"Bet v 1","Betula pendula (white birch)","384","1565","44"
"Telomere-binding protein I1","Vaccinia virus (vaccinia virus VV)","182","1523","21"
"Eukaryotic translation initiation factor 4 gamma 1 (UniProt:Q04637)","Homo sapiens (human)","216","1212","38"
"Eukaryotic translation initiation factor 4 gamma 1 (UniProt:E7EX73)","Homo sapiens (human)","163","453","52"
"Eukaryotic translation initiation factor 4 gamma 1 (UniProt:E7EUU4)","Homo sapiens (human)","4","4","2"
"Small capsomere-interacting protein","Human gammaherpesvirus 8 (Human herpesvirus 8)","19","37","5"
"Bos d 5","Bos taurus (bovine)","389","688","19"
"Envelope glycoprotein H","Human herpesvirus 5 (Human cytomegalovirus)","92","194","14"
"Nucleoprotein","Puumala orthohantavirus (nephropathia epidemica virus)","326","396","11"
"Lipoprotein LpqH","Mycobacterium tuberculosis","54","185","23"
"Histone H1.2","Homo sapiens (human)","505","2358","55"
"Histone H1.3","Homo sapiens (human)","489","2443","38"
"Histone H1.4","Homo sapiens (human)","565","2514","51"
"ESAT-6-like protein EsxN","Mycobacterium tuberculosis","24","44","7"
"F protein","Hepatitis C virus","31","83","3"
"Diacylglycerol acyltransferase/mycolyltransferase Ag85A","Mycobacterium tuberculosis","202","423","32"
"Serine-rich protein","Entamoeba histolytica","65","65","1"
"Trans-sialidase, putative (UniProt:Q4DQV8)","Trypanosoma cruzi","55","126","1"
"Tri a 15","Triticum aestivum (Canadian hard winter wheat)","61","61","1"
"Protein E7","Vaccinia virus (vaccinia virus VV)","41","282","7"
"Genome polyprotein","Yellow fever virus (Flavivirus febricis)","1505","19228","84"
"Merozoite surface antigen 2 (UniProt:P50498)","Plasmodium falciparum (malaria parasite P. falciparum)","229","245","9"
"Nucleoprotein","Severe acute respiratory syndrome-related coronavirus (Human coronavirus (strain SARS))","290","889","41"
"Chaperone protein DnaK","Mycobacterium tuberculosis","138","336","9"
"60 kDa heat shock protein, mitochondrial","Homo sapiens (human)","1241","4251","119"
"60 kDa chaperonin","Salmonella enterica","10","23","4"
"viral cyclin homolog","Human gammaherpesvirus 8 (Human herpesvirus 8)","10","10","1"
"Virion membrane protein A17 precursor","Vaccinia virus (vaccinia virus VV)","122","1093","14"
"Nucleoprotein","Lymphocytic choriomeningitis mammarenavirus (Lymphocytic choriomeningitis virus)","179","549","12"
"Nucleoprotein","Argentinian mammarenavirus (Junin arenavirus)","171","574","17"
"Nucleoprotein","Machupo mammarenavirus (Machupo virus)","126","350","18"
"Outer surface protein A","Borreliella burgdorferi (Lyme disease spirochete)","109","228","19"
"Cry j 2","Cryptomeria japonica (Japanese cedar)","289","731","8"
"Protein 7a","Severe acute respiratory syndrome-related coronavirus (Human coronavirus (strain SARS))","61","274","9"
"Api m 1","Apis mellifera (bee)","117","789","14"
"Cyclin-dependent kinase 4 (UniProt:P11802)","Homo sapiens (human)","49","162","51"
"Protein L5","Vaccinia virus (vaccinia virus VV)","33","97","7"
"Envelope polyprotein","Andes orthohantavirus (Andes hantavirus)","168","503","19"
"Phl p 1","Phleum pratense (timothy grass)","227","4273","18"
"Der f 2","Dermatophagoides farinae (American house dust mite)","34","45","9"
"Par j 2","Parietaria judaica","67","71","3"
"Hemagglutinin","Influenza A virus","1406","3555","256"
"Ves v 5","Vespula vulgaris","71","141","3"
"Tegument protein VP16","Human herpesvirus 2","74","226","17"
"Adenosylhomocysteinase","Pseudomonas aeruginosa","1","11","1"
"RNA-directed RNA polymerase L","Guanarito mammarenavirus (Guanarito arenavirus)","514","1486","7"
"Envelope glycoprotein D","Human herpesvirus 1","100","324","11"
"Gag polyprotein","Human immunodeficiency virus 1 (human immunodeficiency virus 1 HIV-1)","277","1583","118"
"Pre-glycoprotein polyprotein GP complex","Guanarito mammarenavirus (Guanarito arenavirus)","148","661","8"
"Phosphoribosylformylglycinamidine synthase","Vibrio cholerae","1","11","1"
"Beta-2-microglobulin","Mus musculus (mouse)","16","53","4"
"Beta-2-microglobulin (UniProt:P61769)","Homo sapiens (human)","538","3939","96"
"Mucin TcMUCII, putative (UniProt:Q4D3H3)","Trypanosoma cruzi","98","169","4"
"Ribonucleoside-diphosphate reductase large subunit","Vaccinia virus (vaccinia virus VV)","101","327","16"
"Hol l 5","Holcus lanatus (velvet grass)","11","17","2"
"Alpha amylase, Glycoside Hydrolase Family 13","Bacillus licheniformis","157","157","1"
"Protein J1","Vaccinia virus (vaccinia virus VV)","33","91","8"
"Dihydropyrimidinase-related protein 2 (UniProt:Q16555)","Homo sapiens (human)","318","1173","41"
"Phl p 7","Phleum pratense (timothy grass)","17","618","5"
"Tetanus toxin","Clostridium tetani","1008","2080","83"
"mRNA export factor ICP27 homolog","Human herpesvirus 3 (Varicella-zoster virus)","44","44","1"
"Other Escherichia coli protein","Escherichia coli","244","1367","44"
"Tri r 2","Trichophyton rubrum","28","234","2"
"Chitinase family 18 protein","Francisella tularensis","5","7","1"
"Jun a 3","Juniperus ashei (Ashe juniper)","3","3","1"
"Circumsporozoite (CS) protein","Plasmodium falciparum (malaria parasite P. falciparum)","424","1872","127"
"Kinetoplastid membrane protein-11","Leishmania donovani","87","96","2"
"Bacterioferritin","Mycobacterium leprae","13","13","1"
"Cytochrome c-like","Columba livia (carrier pigeon)","15","31","2"
"Putative electron transfer flavoprotein subunit YgcR","Escherichia coli","1","31","2"
"Melanoma-associated antigen 1","Homo sapiens (human)","147","307","51"
"Mce-family protein Mce2A","Mycobacterium tuberculosis","13","64","4"
"Large delta antigen","Hepatitis delta virus (hepatitis delta virus HDV)","292","469","12"
"Chi t 1","Chironomus thummi (midge)","41","55","5"
"Nucleoprotein","Influenza B virus (Influenza virus type B)","70","97","10"
"Uncharacterized protein (Fragment)","Human herpesvirus 4 (Epstein Barr virus)","1","1","1"
"Trans-sialidase, putative (UniProt:Q4CZE6)","Trypanosoma cruzi","779","779","2"
"Tyrosinase","Homo sapiens (human)","153","347","45"
"Other Fagopyrum esculentum (common buckwheat) protein","Fagopyrum esculentum (common buckwheat)","149","149","2"
"60 kDa chaperonin","Orientia tsutsugamushi","161","162","2"
"Epstein-Barr nuclear antigen 1","Human herpesvirus 4 (Epstein Barr virus)","486","1628","114"
"Nucleoprotein","Hantaan orthohantavirus (Hantaan hantavirus)","109","316","26"
"PE-PGRS family protein PE_PGRS17","Mycobacterium tuberculosis","1","1","1"
"Other Mycobacterium tuberculosis protein","Mycobacterium tuberculosis","1212","1486","44"
"Uncharacterized protein 14","Severe acute respiratory syndrome-related coronavirus (Human coronavirus (strain SARS))","23","105","2"
"rRNA N-glycosidase","Ricinus communis (castor bean)","24","29","4"
"RNA-directed RNA polymerase L","Lymphocytic choriomeningitis mammarenavirus (Lymphocytic choriomeningitis virus)","642","1451","7"
"RNA-directed RNA polymerase L","Marburg marburgvirus (Lake Victoria marburgvirus)","100","1553","24"
"Lit v 1","Penaeus vannamei (white Pacific shrimp)","94","354","3"
"Pen a 1","Penaeus aztecus (brown shrimp)","100","1812","4"
"Uncharacterized protein (UniProt:A4IC39)","Leishmania infantum","10","10","1"
"Envelope protein A28 homolog","Vaccinia virus (vaccinia virus VV)","22","57","8"
"Hev b 1","Hevea brasiliensis (rubbertree)","41","63","3"
"Putative nuclease G5","Vaccinia virus (vaccinia virus VV)","212","1781","20"
"Gal d 1","Gallus gallus (chicken)","289","643","8"
"Ankyrin repeat protein B4","Vaccinia virus (vaccinia virus VV)","67","231","7"
"60S acidic ribosomal protein P2, putative (UniProt:Q4DWU6)","Trypanosoma cruzi","107","172","11"
"Glutaredoxin-1","Vaccinia virus (vaccinia virus VV)","15","56","3"
"Putative lipophosphoglycan biosynthetic protein","Leishmania infantum","39","39","1"
"Other Plasmodium falciparum (malaria parasite P. falciparum) protein","Plasmodium falciparum (malaria parasite P. falciparum)","1623","1940","59"
"Ring-infected erythrocyte surface antigen","Plasmodium falciparum (malaria parasite P. falciparum)","83","378","46"
"Hev b 3","Hevea brasiliensis (rubbertree)","101","120","2"
"mRNA-capping enzyme catalytic subunit","Vaccinia virus (vaccinia virus VV)","321","880","30"
"Protein 21.1 (UniProt:E1F3G3)","Giardia intestinalis (Giardia lamblia)","1","32","4"
"Myelin proteolipid protein","Homo sapiens (human)","212","842","46"
"Serine/threonine-protein kinase 2","Vaccinia virus (vaccinia virus VV)","79","374","22"
"CDC19","Giardia intestinalis (Giardia lamblia)","2","34","5"
"Metalloendopeptidase G1","Vaccinia virus (vaccinia virus VV)","225","652","27"
"Other Severe acute respiratory syndrome-related coronavirus (Human coronavirus (strain SARS)) protein","Severe acute respiratory syndrome-related coronavirus (Human coronavirus (strain SARS))","1351","3469","17"
"Protease inhibitor","Pseudomonas fluorescens","1","15","1"
"Protease inhibitor Inh","Pseudomonas tolaasii","1","14","2"
"Envelope glycoprotein","Zaire ebolavirus (Zaire Ebola virus)","786","3276","27"
"Pre-small/secreted glycoprotein","Zaire ebolavirus (Zaire Ebola virus)","89","297","5"
"Type II restriction enzyme, methylase subunits","Corynebacterium glutamicum","1","33","4"
"DNA-directed RNA polymerase 133 kDa polypeptide","Vaccinia virus (vaccinia virus VV)","158","525","32"
"ESAT-6-like protein EsxL","Mycobacterium tuberculosis","13","20","6"
"ESAT-6-like protein EsxI","Mycobacterium tuberculosis","4","17","4"
"ESAT-6-like protein EsxV","Mycobacterium tuberculosis","16","36","6"
"ESAT-6-like protein EsxO","Mycobacterium tuberculosis","13","24","5"
"Glycerol kinase","Vibrio cholerae","1","29","2"
"Heat shock protein 70 (HSP70), putative (UniProt:Q4DTM8)","Trypanosoma cruzi","72","127","2"
"Nucleoprotein","Araucaria virus (Paran virus)","13","78","1"
"Nucleocapsid (Fragment) (UniProt:Q6R3J9)","Itapua hantavirus","2","16","2"
"Nucleoprotein (Fragment)","Araucaria virus (Paran virus)","10","115","7"
"Nucleoside triphosphatase I","Vaccinia virus (vaccinia virus VV)","80","279","14"
"Non-structural protein 6","Severe acute respiratory syndrome-related coronavirus (Human coronavirus (strain SARS))","25","86","8"
"Protein K8.1","Human gammaherpesvirus 8 (Human herpesvirus 8)","89","117","6"
"DNA-directed RNA polymerase 147 kDa polypeptide","Vaccinia virus (vaccinia virus VV)","171","602","32"
"Putative A-type inclusion protein","Vaccinia virus (vaccinia virus VV)","29","102","8"
"Uncharacterized 18.2 kDa protein","Vaccinia virus (vaccinia virus VV)","16","55","5"
"Immunodominant antigen Ov33-3 (UniProt:P21250)","Onchocerca volvulus","10","29","2"
"Matrix M2-1","Human respiratory syncytial virus","9","19","4"
"Nucleoprotein","Amur virus","17","40","5"
"Calcium-binding protein SPEC 2C","Echinococcus granulosus","10","21","1"
"UDP-glucuronosyltransferase 2B17","Homo sapiens (human)","41","118","20"
"DNA polymerase","Vaccinia virus (vaccinia virus VV)","165","809","29"
"Der f 14","Dermatophagoides farinae (American house dust mite)","29","55","3"
"Phosphate-specific transport system accessory protein PhoU","Brucella abortus (Brucella melitensis bv. Abortus)","1","14","1"
"Phosphate-specific transport system accessory protein PhoU","Brucella melitensis","1","15","1"
"Nucleoprotein","Measles morbillivirus (Cell-associated subacute sclerosing panencephalitis)","97","154","13"
"Protein K2","Vaccinia virus (vaccinia virus VV)","58","251","20"
"Putative ABC transporter protein","Shigella dysenteriae (Escherichia/Shigella dysenteriae)","1","13","1"
"Cap-specific mRNA (nucleoside-2'-O-)-methyltransferase","Vaccinia virus (vaccinia virus VV)","54","166","16"
"Polymerase cofactor VP35","Zaire ebolavirus (Zaire Ebola virus)","80","242","16"
"Polymerase cofactor VP35","Reston ebolavirus (Ebola virus Reston)","13","76","7"
"Replication and transcription activator","Human herpesvirus 4 (Epstein Barr virus)","37","186","63"
"Uncharacterized 7.6 kDa protein (UniProt:P20556)","Vaccinia virus (vaccinia virus VV)","7","22","2"
"Glyoxalase, putative","Brucella suis (Brucella melitensis bv. Suis)","1","16","2"
"Glyoxalase/Bleomycin resistance protein/dioxygenase domain","Brucella abortus (Brucella melitensis bv. Abortus)","1","14","1"
"Protein K6","Vaccinia virus (vaccinia virus VV)","14","50","10"
"Vibriobactin receptor","Vibrio cholerae","2","32","4"
"Other Human immunodeficiency virus 1 (human immunodeficiency virus 1 HIV-1) protein","Human immunodeficiency virus 1 (human immunodeficiency virus 1 HIV-1)","33","83","19"
"Ara h 1","Arachis hypogaea (peanut)","1243","2521","20"
"Paramyosin","Schistosoma mansoni","12","121","5"
"Cell traversal protein for ookinetes and sporozoites","Plasmodium falciparum (malaria parasite P. falciparum)","21","123","1"
"Trans-sialidase, putative (UniProt:Q4E0M7)","Trypanosoma cruzi","924","926","3"
"Genome polyprotein","Enterovirus B (Enterovirus EV-B)","267","1090","20"
"HTH-type transcriptional regulator LysG","Mycobacterium tuberculosis","28","48","3"
"18 kDa antigen","Mycobacterium leprae","25","81","12"
"E3 ubiquitin-protein ligase ICP0","Human herpesvirus 2","206","234","4"
"Uncharacterized protein (UniProt:Q4E312)","Trypanosoma cruzi","1","4","1"
"Protein transport protein Sec23B","Homo sapiens (human)","141","896","70"
"RdRp catalytic domain-containing protein","Tula orthohantavirus (Tula hantavirus)","17","244","14"
"RNA-directed RNA polymerase L","Puumala orthohantavirus (nephropathia epidemica virus)","5","47","5"
"Scaffold protein D13","Vaccinia virus (vaccinia virus VV)","92","312","22"
"Type IV pili nucleotide-binding protein","Francisella tularensis","1","2","1"
"Outer surface protein C","Borreliella burgdorferi (Lyme disease spirochete)","67","103","12"
"Polymerase basic protein 2","Influenza A virus","274","1435","50"
"Polymerase acidic protein","Influenza A virus","221","1355","54"
"Mucin TcMUCII, putative (UniProt:Q4D0A3)","Trypanosoma cruzi","1","1","1"
"Nucleoprotein","Cano Delgadito orthohantavirus (Cano Delgadito hantavirus)","2","36","4"
"Protein F9","Vaccinia virus (vaccinia virus VV)","33","95","4"
"Other Leishmania aethiopica protein","Leishmania aethiopica","56","56","1"
"Dihydroorotase","Francisella tularensis","1","3","3"
"40S ribosomal protein S21 (UniProt:Q8WVC2)","Homo sapiens (human)","43","114","27"
"40S ribosomal protein S21 (UniProt:Q9BYK1)","Homo sapiens (human)","24","73","27"
"40S ribosomal protein S21 (UniProt:P63220)","Homo sapiens (human)","56","246","30"
"Other Human herpesvirus 4 (Epstein Barr virus) protein","Human herpesvirus 4 (Epstein Barr virus)","199","367","20"
"Protein pp71","Human herpesvirus 5 (Human cytomegalovirus)","65","125","5"
"Gag polyprotein","Murine leukemia virus (murine leukemia virus MLV)","5","8","3"
"Transcriptional regulator ICP22 homolog","Human herpesvirus 3 (Varicella-zoster virus)","28","36","4"
"Ribonucleoside-diphosphate reductase small chain","Vaccinia virus (vaccinia virus VV)","56","205","13"
"Ribosomal RNA small subunit methyltransferase G","Yersinia pestis","1","29","2"
"Envelope glycoprotein GP350","Human herpesvirus 4 (Epstein Barr virus)","304","626","18"
"Protein E6","Vaccinia virus (vaccinia virus VV)","181","992","19"
"Indole-3-glycerol phosphate synthase","Corynebacterium glutamicum","1","29","3"
"Protein A46","Vaccinia virus (vaccinia virus VV)","124","1024","25"
"Glyceraldehyde-3-phosphate dehydrogenase","Vibrio vulnificus","1","13","1"
"Glyceraldehyde-3-phosphate dehydrogenase","Vibrio parahaemolyticus","1","12","1"
"Latent membrane protein 1","Human herpesvirus 4 (Epstein Barr virus)","350","1099","58"
"Band 3 anion transport protein (UniProt:P02730)","Homo sapiens (human)","431","929","14"
"Uncharacterized 10.8 kDa protein","Vaccinia virus (vaccinia virus VV)","15","54","2"
"Phosphate transport system permease protein PstA","Edwardsiella tarda","1","13","1"
"Phosphate transport system permease protein PstA","Enterobacter cloacae","1","15","1"
"Large envelope protein","Hepatitis B virus (hepatitis B virus (HBV))","548","2181","150"
"Lol p 1","Lolium perenne (perennial ryegrass)","93","335","27"
"Protein E2","Vaccinia virus (vaccinia virus VV)","89","332","14"
"Other Vaccinia virus (vaccinia virus VV) protein","Vaccinia virus (vaccinia virus VV)","579","1989","33"
"Jun a 1","Juniperus ashei (Ashe juniper)","71","207","3"
"Kelch repeat and BTB domain-containing protein 1","Vaccinia virus (vaccinia virus VV)","71","283","16"
"Resolvase A22","Vaccinia virus (vaccinia virus VV)","24","95","6"
"Protein non-structural 7b","Severe acute respiratory syndrome-related coronavirus (Human coronavirus (strain SARS))","33","180","5"
"Protein B6","Vaccinia virus (vaccinia virus VV)","106","884","16"
"Dual specificity protein phosphatase H1","Vaccinia virus (vaccinia virus VV)","27","151","21"
"Protein Tax-1","Primate T-lymphotropic virus 1","137","759","96"
"Nucleocapsid (Fragment) (UniProt:Q6R3K0)","Itapua hantavirus","7","7","1"
"Envelope phospholipase F13","Vaccinia virus (vaccinia virus VV)","37","141","10"
"Cry j 1","Cryptomeria japonica (Japanese cedar)","333","655","13"
"Non-structural protein 3b","Severe acute respiratory syndrome-related coronavirus (Human coronavirus (strain SARS))","70","200","9"
"Non-structural protein 8b","Severe acute respiratory syndrome-related coronavirus (Human coronavirus (strain SARS))","24","56","3"
"Cuc m 2","Cucumis melo (Oriental melon)","26","26","1"
"Gag-Pol polyprotein","Human immunodeficiency virus 1 (human immunodeficiency virus 1 HIV-1)","251","1086","134"
"Glutaredoxin-2","Vaccinia virus (vaccinia virus VV)","16","40","6"
"Pertussis toxin subunit 1","Bordetella pertussis","57","110","15"
"Envelope small membrane protein","Severe acute respiratory syndrome-related coronavirus (Human coronavirus (strain SARS))","53","247","7"
"Core protein VP8","Vaccinia virus (vaccinia virus VV)","44","153","15"
"Capsid protein VP1","Adeno-associated dependoparvovirus A","174","281","4"
"Uncharacterized 9.9 kDa protein (UniProt:P20525)","Vaccinia virus (vaccinia virus VV)","6","17","2"
"60 kDa chaperonin","Chlamydia trachomatis","71","147","15"
"Genome polyprotein","Hepatovirus A (Hepatitis A virus)","309","492","21"
"10 kDa chaperonin","Mycobacterium leprae","60","395","8"
"Major outer membrane protein P.IA","Neisseria meningitidis","32","45","4"
"Spike glycoprotein","Sudan ebolavirus (Sudan Ebola virus)","281","1402","7"
"Pertussis toxin subunit 3","Bordetella pertussis","28","33","3"
"Other Bos taurus (bovine) protein","Bos taurus (bovine)","75","106","17"
"Uncharacterized protein (UniProt:Q5U5E1)","Xenopus laevis (clawed frog)","1","1","1"
"Other Gallus gallus (chicken) protein","Gallus gallus (chicken)","2","3","2"
"Envelope glycoprotein B","Human herpesvirus 1","130","338","13"
"Membrane protein","Severe acute respiratory syndrome-related coronavirus (Human coronavirus (strain SARS))","170","636","17"
"Matrix protein 1","Influenza A virus","425","1962","331"
"Thrombospondin-related anonymous protein","Plasmodium falciparum (malaria parasite P. falciparum)","214","793","31"
"Putative heat-shock protein hsp70 (Fragment)","Leishmania infantum","46","49","2"
"Exported protein 1","Plasmodium falciparum (malaria parasite P. falciparum)","36","451","12"
"Apoptosis regulator BHRF1","Human herpesvirus 4 (Epstein Barr virus)","11","42","10"
"Pen ch 13","Penicillium chrysogenum","82","274","4"
"Serine-rich antigen","Mycobacterium leprae","14","44","2"
